paper_ID,tabfig,model_type,year,response,resp_type_generalized,exp_num_var,explanatory,exp_isNA,exp_isTIME,exp_isSCALE,exp_isOTHER,exp_SOYPRED,exp_FUNGUS,exp_plantnutrition,exp_leaf_percK,exp_leaf_perc_N,exp_precipitation,exp_growingdegreedays,exp_functdiversity,exp_aspect,exp_intercept,exp_isSBA,exp_captured_SBA,exp_SBA_abundance,exp_isPRED,exp_isPREDTYPE,exp_pred_migration,exp_pred_withheld,exp_pred_richness,exp_pred_abundance,exp_predtype_lacewings,exp_predtype_spiders,exp_coccinellidae,exp_parasitoids,exp_isFIELD,exp_fieldID,exp_fieldperimeter,exp_fieldarea,exp_fieldwidth,exp_fieldtillage_notill,exp_isBORDERTYPE,exp_border,exp_landscape_complexity,exp_border_buckthorn,exp_isBORDERTYPE_crops,exp_bordertype_alfalfa,exp_bordertype_corn,exp_bordertype_canola,exp_bordertype_cereals,exp_bordertype_soybean,exp_bordertype_richness,exp_bordertype_generalizedcrops,exp_isBORDERTYPE_grass,exp_bordertype_grass,exp_bordertype_prairie,exp_bordertype_pasture,exp_isBORDERTYPE_forest,exp_bordertype_forestdistance,exp_bordertype_forestproportion,exp_bordertype_forestdiversity,value,value_type,value_isBEST,value_best_type,value_best_num_var,p_val,signif,delta_i,w_i,likelihood,value_R2_type,value_R2,confidence_interv,spatial_scale,notes,ParCorrDep
Sama2019,T2,linear mixed-effects,"2013, 2014",total predators,SBA predator abundance,1,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1.52,F-value,,p-val,2,0.22,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",total predators,SBA predator abundance,1,year,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48,F-value,yes,p-val,2,0.002,1,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",total predators,SBA predator abundance,1,migration,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,F-value,,p-val,2,0.64,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",total predators,SBA predator abundance,2,border x migration,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,6.95,F-value,yes,p-val,2,0.001,1,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",total predators,SBA predator abundance,2,border x year,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",total predators,SBA predator abundance,2,year x migration,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",total predators,SBA predator abundance,3,border x year x migration,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",hover flies,SBA predator abundance,1,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1.49,F-value,,p-val,2,0.235,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",hover flies,SBA predator abundance,1,year,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37,F-value,yes,p-val,2,0.004,1,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",hover flies,SBA predator abundance,1,migration,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,F-value,,p-val,2,0.829,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",hover flies,SBA predator abundance,2,border x migration,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,5.67,F-value,yes,p-val,2,0.002,1,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",hover flies,SBA predator abundance,2,border x year,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",hover flies,SBA predator abundance,2,year x migration,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",hover flies,SBA predator abundance,3,border x year x migration,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",green lacewings,SBA predator abundance,1,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.35,F-value,,p-val,2,0.28,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",green lacewings,SBA predator abundance,1,year,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,F-value,,p-val,2,0.254,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",green lacewings,SBA predator abundance,1,migration,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,F-value,,p-val,2,0.943,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",green lacewings,SBA predator abundance,2,border x migration,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2.88,F-value,yes,p-val,2,0.043,1,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",green lacewings,SBA predator abundance,2,border x year,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",green lacewings,SBA predator abundance,2,year x migration,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",green lacewings,SBA predator abundance,3,border x year x migration,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",lady beetles,SBA predator abundance,1,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,7.76,F-value,yes,p-val,2,0.0001,1,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",lady beetles,SBA predator abundance,1,year,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19,F-value,yes,p-val,2,0.003,1,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",lady beetles,SBA predator abundance,1,migration,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82,F-value,yes,p-val,2,0.014,1,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",lady beetles,SBA predator abundance,2,border x migration,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",lady beetles,SBA predator abundance,2,border x year,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,6.59,F-value,yes,p-val,2,0.002,1,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",lady beetles,SBA predator abundance,2,year x migration,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2019,T2,linear mixed-effects,"2013, 2014",lady beetles,SBA predator abundance,3,border x year x migration,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,NA,F-value,,p-val,2,nonsig,,<2,,,NA,NA,,NA,,
Sama2018,T1,ANOVA,"2013, 2014",final aphid populations,SBA abundance,1,field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,11.89,F-value,yes,p-val,2,<0.0001,1,<2,,,NA,NA,,NA,,
Sama2018,T1,ANOVA,"2013, 2014",final aphid populations,SBA abundance,1,predator manipulation,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.98,F-value,yes,p-val,2,<0.0001,1,<2,,,NA,NA,,NA,,
Sama2018,T1,ANOVA,"2013, 2014",final aphid populations,SBA abundance,2,field x predator manipulation,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3.03,F-value,yes,p-val,2,<0.0001,1,<2,,,NA,NA,,NA,,
Sama2018,T1,ANOVA,"2013, 2014",final aphid populations,SBA abundance,,between subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,p-val,2,NA,,<2,,,NA,NA,,NA,,
Sama2018,T1,ANOVA,"2013, 2014",final aphid populations,SBA abundance,1,week,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.72,F-value,yes,p-val,2,<0.0001,1,<2,,,NA,NA,,NA,,
Sama2018,T1,ANOVA,"2013, 2014",final aphid populations,SBA abundance,2,field x week,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,7.81,F-value,yes,p-val,2,<0.0001,1,<2,,,NA,NA,,NA,,
Sama2018,T1,ANOVA,"2013, 2014",final aphid populations,SBA abundance,2,predator manipulation x week,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.24,F-value,yes,p-val,2,<0.0001,1,<2,,,NA,NA,,NA,,
Sama2018,T1,ANOVA,"2013, 2014",final aphid populations,SBA abundance,3,field x predator manipulation x week,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.52,F-value,,p-val,2,0.057,,<2,,,NA,NA,,NA,,
Sama2018,T1,ANOVA,"2013, 2014",final aphid populations,SBA abundance,,within subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,p-val,2,NA,,<2,,,NA,NA,,NA,,
Sama2018,T3,multiple linear regression,"2013, 2014",lady beetles,SBA predator abundance,1,landcover type (alfalfa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (alfalfa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,-0.39,model coefficient,yes,p-val,1,sig,1,,,,NA,NA,,1.5,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (alfalfa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,-0.42,model coefficient,yes,p-val,1,sig,1,,,,NA,NA,,2.0,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",damsel bugs,SBA predator abundance,1,landcover type (alfalfa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (alfalfa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",brown lacewings,SBA predator abundance,1,landcover type (alfalfa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",lady beetles,SBA predator abundance,1,landcover type (canola),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (canola),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,0.53,model coefficient,,p-val,1,sig,1,,,,NA,NA,,0.25,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (canola),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,0.51,model coefficient,,p-val,1,sig,1,,,,NA,NA,,0.5,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",damsel bugs,SBA predator abundance,1,landcover type (canola),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (canola),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",brown lacewings,SBA predator abundance,1,landcover type (canola),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,0.4,model coefficient,,p-val,1,sig,1,,,,NA,NA,,1.5,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",lady beetles,SBA predator abundance,1,landcover type (cereals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (cereals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",damsel bugs,SBA predator abundance,1,landcover type (cereals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,0.46,model coefficient,,p-val,1,sig,1,,,,NA,NA,,0.25,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",damsel bugs,SBA predator abundance,1,landcover type (cereals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,0.51,model coefficient,,p-val,1,sig,1,,,,NA,NA,,0.5,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (cereals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,0.45,model coefficient,,p-val,1,sig,1,,,,NA,NA,,0.25,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (cereals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,0.57,model coefficient,,p-val,1,sig,1,,,,NA,NA,,0.5,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (cereals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,0.39,model coefficient,,p-val,1,sig,1,,,,NA,NA,,2,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",brown lacewings,SBA predator abundance,1,landcover type (cereals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",lady beetles,SBA predator abundance,1,landcover type (field border grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (field border grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,0.41,model coefficient,,p-val,1,sig,1,,,,NA,NA,,1.5,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",damsel bugs,SBA predator abundance,1,landcover type (field border grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (field border grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",brown lacewings,SBA predator abundance,1,landcover type (field border grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,0.64,model coefficient,,p-val,1,sig,1,,,,NA,NA,,1.5,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",brown lacewings,SBA predator abundance,1,landcover type (field border grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,0.48,model coefficient,,p-val,1,sig,1,,,,NA,NA,,2,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",lady beetles,SBA predator abundance,1,landcover type (forage grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (forage grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",damsel bugs,SBA predator abundance,1,landcover type (forage grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (forage grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
