"","ID","paper_ID","tabfig","model_type","year","response","resp_type_generalized","explanatory","value","value_type","value_best_type","p_val","delta_i","w_i","likelihood","value_R2_type","value_R2","exp_num_var","exp_isNA","exp_isTIME","exp_isSCALE","exp_isOTHER","exp_SOYPRED","exp_FUNGUS","exp_plantnutrition","exp_leaf_percK","exp_leaf_perc_N","exp_precipitation","exp_growingdegreedays","exp_functdiversity","exp_aspect","exp_intercept","exp_isSBA","exp_captured_SBA","exp_SBA_abundance","exp_isPRED","exp_isPREDTYPE","exp_pred_migration","exp_pred_withheld","exp_pred_richness","exp_pred_abundance","exp_predtype_lacewings","exp_predtype_spiders","exp_coccinellidae","exp_parasitoids","exp_isFIELD","exp_fieldID","exp_fieldperimeter","exp_fieldarea","exp_fieldwidth","exp_fieldtillage_notill","exp_isBORDERTYPE","exp_border","exp_landscape_complexity","exp_border_buckthorn","exp_isBORDERTYPE_crops","exp_bordertype_alfalfa","exp_bordertype_corn","exp_bordertype_canola","exp_bordertype_cereals","exp_bordertype_soybean","exp_bordertype_richness","exp_bordertype_generalizedcrops","exp_isBORDERTYPE_grass","exp_bordertype_grass","exp_bordertype_prairie","exp_bordertype_pasture","exp_isBORDERTYPE_forest","exp_bordertype_forestdistance","exp_bordertype_forestproportion","exp_bordertype_forestdiversity","value_isBEST","value_best_num_var","signif"
"1","1","Sama2019","T2","linear mixed-effects","2013, 2014","total predators","SBA predator abundance","border","1.52","F-value","p-val","0.22","<2","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"2","2","Sama2019","T2","linear mixed-effects","2013, 2014","total predators","SBA predator abundance","year","12.48","F-value","p-val","0.002","<2","NA","NA","NA","NA",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"3","3","Sama2019","T2","linear mixed-effects","2013, 2014","total predators","SBA predator abundance","migration","0.22","F-value","p-val","0.64","<2","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"4","4","Sama2019","T2","linear mixed-effects","2013, 2014","total predators","SBA predator abundance","border x migration","6.95","F-value","p-val","0.001","<2","NA","NA","NA","NA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"5","5","Sama2019","T2","linear mixed-effects","2013, 2014","total predators","SBA predator abundance","border x year","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"6","6","Sama2019","T2","linear mixed-effects","2013, 2014","total predators","SBA predator abundance","year x migration","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"7","7","Sama2019","T2","linear mixed-effects","2013, 2014","total predators","SBA predator abundance","border x year x migration","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"8","8","Sama2019","T2","linear mixed-effects","2013, 2014","hover flies","SBA predator abundance","border","1.49","F-value","p-val","0.235","<2","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"9","9","Sama2019","T2","linear mixed-effects","2013, 2014","hover flies","SBA predator abundance","year","10.37","F-value","p-val","0.004","<2","NA","NA","NA","NA",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"10","10","Sama2019","T2","linear mixed-effects","2013, 2014","hover flies","SBA predator abundance","migration","0.05","F-value","p-val","0.829","<2","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
